TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Product Name,StoreName,GroupStore,Type,Age,Gender,Marital Status,Income
TR93759,34,2022-01-02,P10,15000,2,30000,4,Cheese Stick,Gita Ginara,Gita,General Trade,45,Wanita,Married,6360000
TR10346,322,2022-01-03,P3,7500,4,30000,4,Crackers,Gita Ginara,Gita,General Trade,41,Wanita,Married,20010000
TR13,285,2022-01-03,P8,16000,1,16000,6,Oat,Lingga,Lingga,Modern Trade,20,Wanita,Single,0
TR15573,91,2022-01-03,P2,3200,6,19200,13,Ginger Candy ,Buana,Buana,General Trade,59,Wanita,Married,9850000
TR21783,78,2022-01-03,P5,4200,5,21000,10,Thai Tea,Harapan Baru,Harapan Baru,General Trade,41,Pria,Married,10340000
TR25759,218,2022-01-03,P5,4200,4,16800,14,Thai Tea,Priangan,Priangan,Modern Trade,29,Wanita,Married,3520000
TR26782,237,2022-01-03,P10,15000,4,60000,7,Cheese Stick,Buana Indah,Buana,General Trade,35,Pria,Married,8140000
TR27698,178,2022-01-03,P6,18000,3,54000,8,Cashew,Sinar Harapan,Harapan Baru,General Trade,43,Wanita,Married,9580000
TR31585,144,2022-01-03,P2,3200,3,9600,6,Ginger Candy ,Lingga,Lingga,Modern Trade,34,Wanita,Married,10010000
TR36491,117,2022-01-03,P3,7500,4,30000,12,Crackers,Prestasi Utama,Prestasi,General Trade,45,Pria,Married,12550000
TR36846,159,2022-01-03,P9,10000,2,20000,7,Yoghurt,Buana Indah,Buana,General Trade,53,Pria,Married,13650000
TR40890,224,2022-01-03,P6,18000,3,54000,14,Cashew,Priangan,Priangan,Modern Trade,29,Wanita,Married,3310000
TR45933,406,2022-01-03,P4,12000,2,24000,8,Potato Chip,Sinar Harapan,Harapan Baru,General Trade,38,Pria,Married,8640000
TR45980,7,2022-01-03,P3,7500,3,22500,7,Crackers,Buana Indah,Buana,General Trade,31,Wanita,Married,4570000
TR46171,21,2022-01-03,P10,15000,3,45000,10,Cheese Stick,Harapan Baru,Harapan Baru,General Trade,52,Wanita,Married,12720000
TR54686,106,2022-01-03,P2,3200,5,16000,10,Ginger Candy ,Harapan Baru,Harapan Baru,General Trade,24,Wanita,Single,6790000
TR74189,202,2022-01-03,P7,9400,3,28200,10,Coffee Candy,Harapan Baru,Harapan Baru,General Trade,28,Wanita,Married,4530000
TR86483,45,2022-01-03,P8,16000,3,48000,12,Oat,Prestasi Utama,Prestasi,General Trade,53,Wanita,Married,9250000
TR9341,202,2022-01-03,P7,9400,5,47000,14,Coffee Candy,Priangan,Priangan,Modern Trade,28,Wanita,Married,4530000
TR14593,311,2022-01-04,P6,18000,4,72000,9,Cashew,Lingga,Lingga,Modern Trade,61,Pria,Married,7640000
TR14970,136,2022-01-04,P10,15000,1,15000,6,Cheese Stick,Lingga,Lingga,Modern Trade,28,Pria,Married,2960000
TR2102,23,2022-01-04,P5,4200,4,16800,14,Thai Tea,Priangan,Priangan,Modern Trade,57,Pria,Married,12560000
TR22313,194,2022-01-04,P2,3200,4,12800,2,Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,31,Pria,Married,4330000
TR37381,243,2022-01-04,P10,15000,2,30000,7,Cheese Stick,Buana Indah,Buana,General Trade,38,Wanita,Married,3340000
TR41140,78,2022-01-04,P9,10000,2,20000,14,Yoghurt,Priangan,Priangan,Modern Trade,41,Pria,Married,10340000
TR45300,351,2022-01-04,P6,18000,4,72000,11,Cashew,Sinar Harapan,Prestasi,General Trade,45,Pria,Married,18340000
TR48461,117,2022-01-04,P5,4200,2,8400,1,Thai Tea,Prima Tendean,Prima,Modern Trade,45,Pria,Married,12550000
TR49210,189,2022-01-04,P4,12000,1,12000,7,Potato Chip,Buana Indah,Buana,General Trade,59,Pria,Single,5150000
TR50516,304,2022-01-04,P10,15000,2,30000,1,Cheese Stick,Prima Tendean,Prima,Modern Trade,34,Wanita,Single,8550000
TR51256,433,2022-01-04,P9,10000,1,10000,4,Yoghurt,Gita Ginara,Gita,General Trade,48,Pria,Married,11970000
TR57427,157,2022-01-04,P5,4200,3,12600,5,Thai Tea,Bonafid,Gita,General Trade,44,Wanita,Single,2520000
TR64821,117,2022-01-04,P3,7500,1,7500,2,Crackers,Prima Kelapa Dua,Prima,Modern Trade,45,Pria,Married,12550000
TR68280,36,2022-01-04,P8,16000,1,16000,12,Oat,Prestasi Utama,Prestasi,General Trade,32,Pria,Married,1040000
TR86686,403,2022-01-04,P5,4200,2,8400,1,Thai Tea,Prima Tendean,Prima,Modern Trade,30,Wanita,Married,4060000
TR88044,62,2022-01-04,P5,4200,5,21000,1,Thai Tea,Prima Tendean,Prima,Modern Trade,51,Pria,Married,13620000
TR90452,440,2022-01-04,P2,3200,5,16000,11,Ginger Candy ,Sinar Harapan,Prestasi,General Trade,40,Wanita,Married,3470000
TR98969,355,2022-01-04,P8,16000,1,16000,4,Oat,Gita Ginara,Gita,General Trade,19,Pria,Single,0
TR10602,22,2022-01-05,P5,4200,3,12600,11,Thai Tea,Sinar Harapan,Prestasi,General Trade,34,Wanita,Single,9910000
TR24114,182,2022-01-05,P8,16000,1,16000,4,Oat,Gita Ginara,Gita,General Trade,44,Pria,Married,14570000
TR35280,167,2022-01-05,P9,10000,1,10000,2,Yoghurt,Prima Kelapa Dua,Prima,Modern Trade,28,Pria,Married,2910000
TR36079,297,2022-01-05,P5,4200,4,16800,11,Thai Tea,Sinar Harapan,Prestasi,General Trade,41,Pria,Married,12130000
TR43714,416,2022-01-05,P7,9400,2,18800,13,Coffee Candy,Buana,Buana,General Trade,27,Pria,Married,3430000
TR46041,7,2022-01-05,P9,10000,5,50000,8,Yoghurt,Sinar Harapan,Harapan Baru,General Trade,31,Wanita,Married,4570000
TR60242,304,2022-01-05,P4,12000,1,12000,13,Potato Chip,Buana,Buana,General Trade,34,Wanita,Single,8550000
TR61100,278,2022-01-05,P8,16000,2,32000,2,Oat,Prima Kelapa Dua,Prima,Modern Trade,31,Pria,Married,9760000
TR61437,123,2022-01-05,P1,8800,4,35200,6,Choco Bar,Lingga,Lingga,Modern Trade,34,Wanita,Married,4360000
TR84132,22,2022-01-05,P9,10000,7,70000,14,Yoghurt,Priangan,Priangan,Modern Trade,34,Wanita,Single,9910000
TR11638,67,2022-01-06,P2,3200,5,16000,12,Ginger Candy ,Prestasi Utama,Prestasi,General Trade,19,Wanita,Single,0
TR20374,282,2022-01-06,P2,3200,5,16000,3,Ginger Candy ,Prima Kota,Prima,Modern Trade,55,Wanita,Married,11380000
TR23183,84,2022-01-06,P4,12000,4,48000,9,Potato Chip,Lingga,Lingga,Modern Trade,54,Wanita,Married,18120000
TR24126,30,2022-01-06,P2,3200,3,9600,3,Ginger Candy ,Prima Kota,Prima,Modern Trade,37,Pria,Single,2260000
TR32850,306,2022-01-06,P2,3200,3,9600,6,Ginger Candy ,Lingga,Lingga,Modern Trade,49,Wanita,Married,16520000
TR40523,176,2022-01-06,P3,7500,4,30000,2,Crackers,Prima Kelapa Dua,Prima,Modern Trade,54,Pria,Married,18320000
TR41572,366,2022-01-06,P6,18000,3,54000,3,Cashew,Prima Kota,Prima,Modern Trade,18,Wanita,Single,0
TR45142,438,2022-01-06,P10,15000,4,60000,10,Cheese Stick,Harapan Baru,Harapan Baru,General Trade,36,Pria,Single,5430000
TR73860,71,2022-01-06,P4,12000,4,48000,1,Potato Chip,Prima Tendean,Prima,Modern Trade,46,Wanita,Married,12420000
TR74469,340,2022-01-06,P5,4200,4,16800,4,Thai Tea,Gita Ginara,Gita,General Trade,41,Wanita,Single,1090000
TR77963,116,2022-01-06,P3,7500,2,15000,7,Crackers,Buana Indah,Buana,General Trade,51,Pria,Married,15770000
TR81478,20,2022-01-06,P5,4200,4,16800,8,Thai Tea,Sinar Harapan,Harapan Baru,General Trade,43,Wanita,Married,18910000
TR83042,102,2022-01-06,P2,3200,6,19200,10,Ginger Candy ,Harapan Baru,Harapan Baru,General Trade,39,Wanita,Married,6440000
TR87914,161,2022-01-06,P5,4200,4,16800,9,Thai Tea,Lingga,Lingga,Modern Trade,41,Wanita,Married,20020000
TR92298,266,2022-01-06,P2,3200,6,19200,2,Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,72,Pria,Married,4720000
TR95272,84,2022-01-06,P7,9400,3,28200,8,Coffee Candy,Sinar Harapan,Harapan Baru,General Trade,54,Wanita,Married,18120000
TR96723,240,2022-01-06,P5,4200,4,16800,14,Thai Tea,Priangan,Priangan,Modern Trade,22,Pria,Single,3330000
TR97562,264,2022-01-06,P5,4200,3,12600,14,Thai Tea,Priangan,Priangan,Modern Trade,21,Pria,Single,1120000
TR22660,43,2022-01-07,P5,4200,3,12600,13,Thai Tea,Buana,Buana,General Trade,53,Wanita,Married,16640000
TR23169,189,2022-01-07,P1,8800,7,61600,7,Choco Bar,Buana Indah,Buana,General Trade,59,Pria,Single,5150000
TR28506,230,2022-01-07,P9,10000,3,30000,12,Yoghurt,Prestasi Utama,Prestasi,General Trade,40,Pria,Married,4320000
TR31932,70,2022-01-07,P9,10000,4,40000,7,Yoghurt,Buana Indah,Buana,General Trade,30,Pria,Married,4420000
TR38873,311,2022-01-07,P2,3200,6,19200,5,Ginger Candy ,Bonafid,Gita,General Trade,61,Pria,Married,7640000
TR43744,233,2022-01-07,P2,3200,6,19200,8,Ginger Candy ,Sinar Harapan,Harapan Baru,General Trade,43,Pria,Married,5690000
TR60853,74,2022-01-07,P2,3200,3,9600,6,Ginger Candy ,Lingga,Lingga,Modern Trade,3,Pria,Married,5090000
TR73336,399,2022-01-07,P8,16000,3,48000,10,Oat,Harapan Baru,Harapan Baru,General Trade,52,Pria,Single,33770000
TR74427,43,2022-01-07,P8,16000,2,32000,3,Oat,Prima Kota,Prima,Modern Trade,53,Wanita,Married,16640000
TR23772,156,2022-01-08,P10,15000,1,15000,1,Cheese Stick,Prima Tendean,Prima,Modern Trade,44,Wanita,Married,3870000
TR36287,157,2022-01-08,P7,9400,2,18800,2,Coffee Candy,Prima Kelapa Dua,Prima,Modern Trade,44,Wanita,Single,2520000
TR40790,134,2022-01-08,P7,9400,4,37600,8,Coffee Candy,Sinar Harapan,Harapan Baru,General Trade,50,Wanita,Married,18620000
TR4331,335,2022-01-08,P3,7500,3,22500,12,Crackers,Prestasi Utama,Prestasi,General Trade,29,Pria,Single,4740000
TR43444,240,2022-01-08,P4,12000,5,60000,2,Potato Chip,Prima Kelapa Dua,Prima,Modern Trade,22,Pria,Single,3330000
TR55617,9,2022-01-08,P7,9400,5,47000,9,Coffee Candy,Lingga,Lingga,Modern Trade,33,Wanita,Married,9920000
TR57273,344,2022-01-08,P4,12000,1,12000,10,Potato Chip,Harapan Baru,Harapan Baru,General Trade,47,Pria,Married,5630000
TR648,164,2022-01-08,P5,4200,3,12600,5,Thai Tea,Bonafid,Gita,General Trade,18,Pria,Single,0
TR65337,12,2022-01-08,P5,4200,3,12600,3,Thai Tea,Prima Kota,Prima,Modern Trade,2,Pria,Married,4940000
TR6602,211,2022-01-08,P8,16000,2,32000,5,Oat,Bonafid,Gita,General Trade,29,Wanita,Married,3540000
TR67501,85,2022-01-08,P4,12000,3,36000,13,Potato Chip,Buana,Buana,General Trade,59,Pria,Married,7890000
TR70157,415,2022-01-08,P8,16000,2,32000,4,Oat,Gita Ginara,Gita,General Trade,44,Wanita,Married,18570000
TR84962,55,2022-01-08,P3,7500,5,37500,7,Crackers,Buana Indah,Buana,General Trade,34,Pria,Married,8440000
TR89167,69,2022-01-08,P1,8800,5,44000,10,Choco Bar,Harapan Baru,Harapan Baru,General Trade,26,Wanita,Single,2840000
TR90471,162,2022-01-08,P3,7500,3,22500,3,Crackers,Prima Kota,Prima,Modern Trade,49,Wanita,Married,11460000
TR14091,307,2022-01-09,P1,8800,5,44000,11,Choco Bar,Sinar Harapan,Prestasi,General Trade,31,Wanita,Married,5220000
TR28270,140,2022-01-09,P2,3200,7,22400,3,Ginger Candy ,Prima Kota,Prima,Modern Trade,54,Wanita,Married,9570000
TR48974,170,2022-01-09,P10,15000,1,15000,9,Cheese Stick,Lingga,Lingga,Modern Trade,36,Wanita,Married,7550000
TR52493,354,2022-01-09,P8,16000,1,16000,11,Oat,Sinar Harapan,Prestasi,General Trade,53,Pria,Married,16940000
TR52613,135,2022-01-09,P5,4200,3,12600,9,Thai Tea,Lingga,Lingga,Modern Trade,41,Wanita,Married,3280000
TR53447,137,2022-01-09,P2,3200,4,12800,5,Ginger Candy ,Bonafid,Gita,General Trade,34,Pria,Married,6360000
TR5513,62,2022-01-09,P4,12000,4,48000,2,Potato Chip,Prima Kelapa Dua,Prima,Modern Trade,51,Pria,Married,13620000
TR76965,241,2022-01-09,P1,8800,8,70400,3,Choco Bar,Prima Kota,Prima,Modern Trade,24,Pria,Single,570000
TR80326,269,2022-01-09,P8,16000,1,16000,2,Oat,Prima Kelapa Dua,Prima,Modern Trade,39,Pria,Married,630000
TR858,340,2022-01-09,P8,16000,2,32000,14,Oat,Priangan,Priangan,Modern Trade,41,Wanita,Single,1090000
TR8878,415,2022-01-09,P5,4200,3,12600,9,Thai Tea,Lingga,Lingga,Modern Trade,44,Wanita,Married,18570000
TR89449,178,2022-01-09,P5,4200,2,8400,11,Thai Tea,Sinar Harapan,Prestasi,General Trade,43,Wanita,Married,9580000
TR91332,385,2022-01-09,P9,10000,1,10000,10,Yoghurt,Harapan Baru,Harapan Baru,General Trade,41,Pria,Married,15840000
TR91669,241,2022-01-09,P5,4200,5,21000,2,Thai Tea,Prima Kelapa Dua,Prima,Modern Trade,24,Pria,Single,570000
TR3291,13,2022-01-10,P4,12000,5,60000,14,Potato Chip,Priangan,Priangan,Modern Trade,23,Wanita,Single,2030000
TR45059,17,2022-01-10,P1,8800,6,52800,9,Choco Bar,Lingga,Lingga,Modern Trade,35,Wanita,Married,3140000
TR47932,122,2022-01-10,P7,9400,3,28200,7,Coffee Candy,Buana Indah,Buana,General Trade,26,Pria,Single,140000
TR57616,446,2022-01-10,P1,8800,7,61600,2,Choco Bar,Prima Kelapa Dua,Prima,Modern Trade,57,Wanita,Married,7810000
TR59952,321,2022-01-10,P4,12000,5,60000,14,Potato Chip,Priangan,Priangan,Modern Trade,45,Wanita,Married,8030000
TR6445,181,2022-01-10,P3,7500,4,30000,12,Crackers,Prestasi Utama,Prestasi,General Trade,33,Pria,Married,9940000
TR69307,23,2022-01-10,P8,16000,1,16000,1,Oat,Prima Tendean,Prima,Modern Trade,57,Pria,Married,12560000
TR69902,108,2022-01-10,P7,9400,2,18800,9,Coffee Candy,Lingga,Lingga,Modern Trade,25,Wanita,Single,6870000
TR7250,49,2022-01-10,P1,8800,7,61600,11,Choco Bar,Sinar Harapan,Prestasi,General Trade,44,Pria,Married,13480000
TR77811,329,2022-01-10,P10,15000,2,30000,4,Cheese Stick,Gita Ginara,Gita,General Trade,19,Pria,Single,0
TR80374,223,2022-01-10,P8,16000,3,48000,10,Oat,Harapan Baru,Harapan Baru,General Trade,62,Pria,Single,5350000
TR82224,246,2022-01-10,P2,3200,3,9600,12,Ginger Candy ,Prestasi Utama,Prestasi,General Trade,40,Pria,Single,21810000
TR8236,249,2022-01-10,P2,3200,6,19200,7,Ginger Candy ,Buana Indah,Buana,General Trade,47,Wanita,Married,13340000
TR8369,64,2022-01-10,P3,7500,1,7500,4,Crackers,Gita Ginara,Gita,General Trade,48,Pria,Married,7920000
TR86436,26,2022-01-10,P10,15000,1,15000,14,Cheese Stick,Priangan,Priangan,Modern Trade,45,Pria,Married,7830000
TR88217,442,2022-01-10,P9,10000,1,10000,8,Yoghurt,Sinar Harapan,Harapan Baru,General Trade,42,Pria,Married,14880000
TR95284,229,2022-01-10,P2,3200,3,9600,2,Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,32,Wanita,Married,10170000
TR18566,8,2022-01-11,P3,7500,3,22500,8,Crackers,Sinar Harapan,Harapan Baru,General Trade,37,Pria,Married,5490000
TR23232,168,2022-01-11,P2,3200,6,19200,1,Ginger Candy ,Prima Tendean,Prima,Modern Trade,27,Wanita,Married,4880000
TR36166,256,2022-01-11,P10,15000,5,75000,12,Cheese Stick,Prestasi Utama,Prestasi,General Trade,56,Wanita,Married,7090000
TR36685,196,2022-01-11,P2,3200,6,19200,2,Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,34,Wanita,Married,3170000
TR40960,394,2022-01-11,P6,18000,1,18000,4,Cashew,Gita Ginara,Gita,General Trade,50,Wanita,Married,7190000
TR47732,329,2022-01-11,P2,3200,6,19200,4,Ginger Candy ,Gita Ginara,Gita,General Trade,19,Pria,Single,0
TR57918,72,2022-01-11,P4,12000,5,60000,6,Potato Chip,Lingga,Lingga,Modern Trade,26,Wanita,Single,1810000
TR59286,278,2022-01-11,P7,9400,6,56400,8,Coffee Candy,Sinar Harapan,Harapan Baru,General Trade,31,Pria,Married,9760000
TR63021,393,2022-01-11,P8,16000,1,16000,12,Oat,Prestasi Utama,Prestasi,General Trade,22,Wanita,Single,0
TR64748,232,2022-01-11,P5,4200,4,16800,9,Thai Tea,Lingga,Lingga,Modern Trade,62,Wanita,Married,7320000
TR6627,339,2022-01-11,P9,10000,6,60000,10,Yoghurt,Harapan Baru,Harapan Baru,General Trade,22,Wanita,Single,2190000
TR71791,295,2022-01-11,P7,9400,5,47000,3,Coffee Candy,Prima Kota,Prima,Modern Trade,34,Wanita,Married,4780000
TR75052,151,2022-01-11,P3,7500,1,7500,2,Crackers,Prima Kelapa Dua,Prima,Modern Trade,42,Wanita,Married,10380000
TR76046,16,2022-01-11,P8,16000,2,32000,1,Oat,Prima Tendean,Prima,Modern Trade,52,Wanita,Married,1180000
TR84499,312,2022-01-11,P3,7500,3,22500,2,Crackers,Prima Kelapa Dua,Prima,Modern Trade,54,Wanita,Married,18770000
TR85582,145,2022-01-11,P5,4200,4,16800,14,Thai Tea,Priangan,Priangan,Modern Trade,37,Wanita,Single,14590000
TR93692,244,2022-01-11,P5,4200,5,21000,10,Thai Tea,Harapan Baru,Harapan Baru,General Trade,21,Pria,Single,3640000
TR94450,213,2022-01-11,P3,7500,6,45000,4,Crackers,Gita Ginara,Gita,General Trade,24,Pria,Single,5720000
TR24515,347,2022-01-12,P10,15000,2,30000,7,Cheese Stick,Buana Indah,Buana,General Trade,26,Pria,Single,3690000
TR24817,287,2022-01-12,P3,7500,1,7500,8,Crackers,Sinar Harapan,Harapan Baru,General Trade,36,Wanita,Single,370000
TR25833,135,2022-01-12,P2,3200,4,12800,5,Ginger Candy ,Bonafid,Gita,General Trade,41,Wanita,Married,3280000
TR28633,201,2022-01-12,P9,10000,6,60000,2,Yoghurt,Prima Kelapa Dua,Prima,Modern Trade,57,Wanita,Married,6870000
TR39671,52,2022-01-12,P10,15000,2,30000,7,Cheese Stick,Buana Indah,Buana,General Trade,37,Wanita,Married,3730000
TR4401,342,2022-01-12,P4,12000,5,60000,3,Potato Chip,Prima Kota,Prima,Modern Trade,48,Pria,Married,13550000
TR49649,154,2022-01-12,P10,15000,1,15000,10,Cheese Stick,Harapan Baru,Harapan Baru,General Trade,31,Wanita,Married,8360000
TR69772,112,2022-01-12,P8,16000,1,16000,5,Oat,Bonafid,Gita,General Trade,31,Pria,Married,4440000
TR76028,301,2022-01-12,P1,8800,8,70400,4,Choco Bar,Gita Ginara,Gita,General Trade,60,Wanita,Married,8970000
TR9420,28,2022-01-12,P8,16000,3,48000,9,Oat,Lingga,Lingga,Modern Trade,55,Wanita,Married,6080000
TR94326,167,2022-01-12,P9,10000,2,20000,13,Yoghurt,Buana,Buana,General Trade,28,Pria,Married,2910000
TR17988,112,2022-01-13,P6,18000,1,18000,2,Cashew,Prima Kelapa Dua,Prima,Modern Trade,31,Pria,Married,4440000
TR23621,156,2022-01-13,P7,9400,2,18800,6,Coffee Candy,Lingga,Lingga,Modern Trade,44,Wanita,Married,3870000
TR31421,427,2022-01-13,P6,18000,3,54000,2,Cashew,Prima Kelapa Dua,Prima,Modern Trade,54,Wanita,Married,16880000
TR33225,286,2022-01-13,P1,8800,3,26400,4,Choco Bar,Gita Ginara,Gita,General Trade,60,Wanita,Married,6190000
TR37826,149,2022-01-13,P7,9400,6,56400,6,Coffee Candy,Lingga,Lingga,Modern Trade,61,Pria,Married,3960000
TR48412,275,2022-01-13,P4,12000,2,24000,3,Potato Chip,Prima Kota,Prima,Modern Trade,41,Wanita,Married,15330000
TR61271,442,2022-01-13,P1,8800,3,26400,12,Choco Bar,Prestasi Utama,Prestasi,General Trade,42,Pria,Married,14880000
TR75546,34,2022-01-13,P5,4200,4,16800,6,Thai Tea,Lingga,Lingga,Modern Trade,45,Wanita,Married,6360000
TR83152,420,2022-01-13,P10,15000,1,15000,10,Cheese Stick,Harapan Baru,Harapan Baru,General Trade,48,Pria,Single,6010000
TR97807,324,2022-01-13,P6,18000,3,54000,12,Cashew,Prestasi Utama,Prestasi,General Trade,36,Pria,Married,10590000
TR16701,426,2022-01-14,P4,12000,1,12000,14,Potato Chip,Priangan,Priangan,Modern Trade,19,Wanita,Single,2160000
TR19443,295,2022-01-14,P9,10000,6,60000,2,Yoghurt,Prima Kelapa Dua,Prima,Modern Trade,34,Wanita,Married,4780000
TR22474,231,2022-01-14,P3,7500,2,15000,8,Crackers,Sinar Harapan,Harapan Baru,General Trade,51,Pria,Married,16590000
TR43117,267,2022-01-14,P10,15000,4,60000,1,Cheese Stick,Prima Tendean,Prima,Modern Trade,22,Wanita,Single,0
TR63072,210,2022-01-14,P7,9400,5,47000,3,Coffee Candy,Prima Kota,Prima,Modern Trade,33,Wanita,Married,1090000
TR68172,131,2022-01-14,P5,4200,5,21000,14,Thai Tea,Priangan,Priangan,Modern Trade,25,Wanita,Single,7120000
TR82815,206,2022-01-14,P7,9400,3,28200,9,Coffee Candy,Lingga,Lingga,Modern Trade,68,Wanita,Married,830000
TR88153,303,2022-01-14,P5,4200,3,12600,1,Thai Tea,Prima Tendean,Prima,Modern Trade,45,Wanita,Married,10340000
TR94606,329,2022-01-14,P10,15000,2,30000,13,Cheese Stick,Buana,Buana,General Trade,19,Pria,Single,0
TR11326,433,2022-01-15,P9,10000,2,20000,11,Yoghurt,Sinar Harapan,Prestasi,General Trade,48,Pria,Married,11970000
TR13287,2,2022-01-15,P5,4200,2,8400,9,Thai Tea,Lingga,Lingga,Modern Trade,60,Pria,Married,6230000
TR14344,300,2022-01-15,P7,9400,2,18800,4,Coffee Candy,Gita Ginara,Gita,General Trade,25,Pria,Single,4220000
TR1445,171,2022-01-15,P5,4200,3,12600,13,Thai Tea,Buana,Buana,General Trade,40,Wanita,Married,10050000
TR16248,130,2022-01-15,P2,3200,7,22400,10,Ginger Candy ,Harapan Baru,Harapan Baru,General Trade,40,Wanita,Married,9730000
TR21056,62,2022-01-15,P8,16000,3,48000,5,Oat,Bonafid,Gita,General Trade,51,Pria,Married,13620000
TR30914,241,2022-01-15,P3,7500,5,37500,2,Crackers,Prima Kelapa Dua,Prima,Modern Trade,24,Pria,Single,570000
TR32340,121,2022-01-15,P5,4200,3,12600,4,Thai Tea,Gita Ginara,Gita,General Trade,26,Wanita,Single,2930000
TR33508,234,2022-01-15,P4,12000,5,60000,8,Potato Chip,Sinar Harapan,Harapan Baru,General Trade,61,Pria,Married,10860000
TR34660,85,2022-01-15,P10,15000,5,75000,2,Cheese Stick,Prima Kelapa Dua,Prima,Modern Trade,59,Pria,Married,7890000
TR37177,93,2022-01-15,P5,4200,3,12600,8,Thai Tea,Sinar Harapan,Harapan Baru,General Trade,32,Wanita,Married,4850000
TR37379,48,2022-01-15,P10,15000,5,75000,2,Cheese Stick,Prima Kelapa Dua,Prima,Modern Trade,32,Wanita,Married,10620000
TR38169,444,2022-01-15,P4,12000,1,12000,9,Potato Chip,Lingga,Lingga,Modern Trade,53,Wanita,Married,15310000
TR41344,306,2022-01-15,P8,16000,2,32000,1,Oat,Prima Tendean,Prima,Modern Trade,49,Wanita,Married,16520000
